Name,Age,Country,CGPA,Skill,Program
Catherine Owen,21,Tonga,3.18,Python,BS Software Engineering
Melissa Wright,24,United Arab Emirates,2.72,R,Program
Laura Shaw,18,Slovakia (Slovak Republic),3.4,Python,BS Data Science
Rodney Cummings,17,Barbados,2.49,Excel,BS Financial Engineering 
Barbara Hicks,25,Canada,2.39,Excel,BS Accounting & Finance
Gerald Young,17,Tuvalu,2.41,Python,BS Software Engineering
Andrea Hayes,19,France,3.56,Python,BS Software Engineering
Darrell Page,23,Togo,2.98,Python,BS Software Engineering
John Jenkins,23,Greenland,3.59,Excel,BS Accounting & Finance
Haley Johnson,23,Kazakhstan,3.79,Excel,BS Accounting & Finance
Tiffany Mckinney,20,French Southern Territories,2.04,None,BBA
Michelle Mccormick,16,Bahrain,2.6,SQL,BS Data Science
Daniel Garcia,17,Swaziland,2.07,Python,BS Data Science
Gregory Wilson,19,Macao,2.2,Excel,BS Accounting & Finance
Ryan Jackson,18,Croatia,3.66,Excel,BS Accounting & Finance
Carrie Chen,22,Tokelau,2.39,Statistics,BS Data Science
Scott Marsh,25,Tuvalu,2.42,Statistics,BS Accounting & Finance
Ryan Garner,18,Bahrain,2.1,Financial Modelling,BS Accounting & Finance
Teresa Palmer,17,Belgium,2.63,Python,BS Data Science
Bryce Stevenson,16,Barbados,2.17,Excel,BS Accounting & Finance
Kathryn Harris,18,Qatar,3.37,R,BS Accounting & Finance
Michael Romero,16,India,2.7,Python,BS Data Science
Sandra Ellison,16,Nigeria,3.12,None,BBA
Jennifer Park,24,Vietnam,2.98,Management,BBA
Kristina Hull,20,Guatemala,3.97,None,BBA
Robin Romero,19,Puerto Rico,2.57,Financial Modelling,BS Accounting & Finance
Gregory Cannon,17,Peru,2.53,Statistics,BS Data Science
Daniel Crane,16,Syrian Arab Republic,3.23,SQL,BS Data Science
Jamie Espinoza,21,Hungary,3.68,Python,BS Data Science
Cristian Wilkerson,20,Maldives,2.15,Excel,BS Business Analytics
Jacqueline Mueller,21,Gibraltar,3.01,Risk Management,BS Accounting & Finance
Amber Ortiz,17,Bulgaria,2.15,R,BS Data Science
Brittany Kirk,18,Comoros,3.33,Risk Management,BS Accounting & Finance
James Chapman,23,Isle of Man,3.07,Excel,BBA
David Perez,18,Estonia,2.89,Python,BS Software Engineering
Jasmin Carter,17,Lebanon,2.53,SQL,BS Business Analytics
Rebecca Clark DDS,19,Morocco,2.74,Financial Modelling,BS Accounting & Finance
Valerie Perez,22,Ireland,2.66,Python,BS Computer Science
Clayton Coleman,21,Lesotho,3.42,Python,BS Data Science
Linda Villegas,23,Tokelau,3.44,Python,BS Software Engineering
Steven Elliott,18,Japan,3.57,SQL,BS Computer Science
Christopher Hopkins,21,South Georgia and the South Sandwich Islands,3.11,SQL,BS Information Technology
Raymond Nguyen,24,Equatorial Guinea,3.45,SQL,BS Computer Science
Cory Moore,18,Wallis and Futuna,3.48,Statistics,BS Data Science
Jose Parker,18,Martinique,3.11,Python,BS Software Engineering
Brittany Morton,21,New Zealand,2.99,SQL,BS Computer Science
Melissa Nguyen,17,Somalia,3.39,Risk Management,BS Accounting & Finance
Patricia Scott,16,Namibia,2.67,Python,BS Computer Science
Lisa Carr,22,Nigeria,3.46,Risk Management,BS Accounting & Finance
Mary Morales,19,Saint Helena,2.62,Python,BS Software Engineering
Corey Thompson,19,Faroe Islands,2.97,Python,BS Software Engineering
Kenneth Sweeney PhD,19,New Zealand,2.96,Financial Modelling,BS Accounting & Finance
Bradley Kennedy,17,Wallis and Futuna,3.53,Python,BS Data Science
Stephen Monroe,25,Namibia,3.13,Excel,BS Business Analytics
John Brandt,19,Tuvalu,3.44,Management,BBA
Michelle Bowman,19,Benin,3.35,Excel,BBA
Troy Graham,24,South Africa,2.64,Excel,BS Business Analytics
Thomas Powell,19,Colombia,3.38,Excel,BBA
Laura Dixon,18,Dominican Republic,3.13,Excel,BBA
Craig Morris,21,Monaco,2.78,SQL,BS Business Analytics
Robert Mcclure,23,South Georgia and the South Sandwich Islands,2.5,Excel,BS Information Technology
Katie Jones,21,Estonia,3.94,Statistics,BS Business Analytics
Kristen Liu,21,Bosnia and Herzegovina,2.88,Excel,BS Accounting & Finance
Aaron Jensen,19,Chile,2.48,SQL,BS Computer Science
James Boone,23,Suriname,2.43,Statistics,BS Business Analytics
Jason Hernandez,17,Portugal,2.95,Python,BS Data Science
Monique Mcneil MD,22,Canada,2.02,Python,BS Computer Science
Kimberly Collins,22,Moldova,3.33,Excel,BS Information Technology
Lisa Castillo,19,Saint Lucia,2.4,Statistics,BS Data Science
Sabrina Gonzalez,16,Brunei Darussalam,2.67,Statistics,BS Business Analytics
Kevin Cox,18,Armenia,3.49,Excel,BS Business Analytics
Matthew Garcia,19,Algeria,3.85,SQL,BS Business Analytics
Ashley Sanders,23,Gabon,2.32,Python,BS Computer Science
Kathy Nicholson,18,Guyana,2.81,Excel,BS Information Technology
Kimberly Wright,17,Uruguay,2.29,Excel,BS Information Technology
Ms. Tricia Smith,17,Paraguay,3.3,Excel,BS Information Technology
Clifford Keith,25,Wallis and Futuna,3.7,Excel,BS Information Technology
Kurt Norman,24,Norfolk Island,2.48,Financial Modelling,BS Accounting & Finance
Nancy Rodgers,19,Burundi,2.95,Python,BS Software Engineering
Lindsay Hobbs,16,Falkland Islands (Malvinas),2.13,SQL,BS Computer Science
Timothy Mitchell,25,Sri Lanka,3.35,SQL,BS Business Analytics
Jose Fuller,19,Uzbekistan,3.21,SQL,BS Information Technology
Julie Young,21,Samoa,3.45,SQL,BS Information Technology
Mike Jones,19,Turkmenistan,3.42,Financial Modelling,BS Accounting & Finance
Joel Hughes,19,Venezuela,3.72,SQL,BS Information Technology
Donna Hodges,20,South Africa,3.48,None,BBA
Christopher Bennett,21,Montenegro,2.44,SQL,BS Business Analytics
Amanda Anderson,22,Saint Pierre and Miquelon,2.97,Excel,BS Information Technology
Mr. John Mitchell,23,Palau,2.52,SQL,BS Information Technology
Zachary Marshall,18,Mali,3.76,SQL,BS Information Technology
Justin Smith,25,Mexico,3.96,Excel,BS Business Analytics
Julia Jones,18,French Guiana,3.39,Python,BS Software Engineering
Mr. William Baker,24,Rwanda,3.26,R,BS Data Science
Aaron Rodriguez,21,Isle of Man,2.58,SQL,BS Information Technology
Matthew Wallace,22,Israel,2.59,None,BBA
Timothy Taylor,18,Kiribati,2.7,SQL,BS Computer Science
Austin Porter,21,United States Virgin Islands,2.08,Statistics,BS Data Science
Kristin Lin,23,South Georgia and the South Sandwich Islands,2.77,Management,BBA
Jeremiah Fitzpatrick,23,Gambia,2.87,Management,BBA
Debra Wells,23,Suriname,2.91,Statistics,BS Business Analytics
Barbara Rogers,19,Philippines,3.15,Excel,BS Business Analytics
Daniel Delgado,19,Antigua and Barbuda,3.02,SQL,BS Computer Science
Randall Valdez,25,Mexico,2.58,Excel,BS Information Technology
Stephanie Meyer,23,Colombia,3.77,Management,BBA
Randall Hickman,21,Holy See (Vatican City State),3.68,SQL,BS Information Technology
Sarah Reed,21,Suriname,3.31,Statistics,BS Data Science
Chad Kemp,20,Rwanda,3.95,Statistics,BS Business Analytics
Leslie Green,23,Yemen,3.64,Statistics,BS Data Science
Devin Martin,16,Madagascar,2.46,None,BBA
Carrie Wang,18,Oman,3.14,SQL,BS Business Analytics
Christopher Ramos,16,Antigua and Barbuda,3.52,SQL,BS Information Technology
Samantha Williamson,17,Japan,2.83,Python,BS Computer Science
Denise Wise,17,Saint Kitts and Nevis,3.23,Excel,BBA
Heather Ramos,18,Ethiopia,2.91,SQL,BS Business Analytics
Zachary Hudson,21,Cocos (Keeling) Islands,3.98,SQL,BS Computer Science
Mark Rice,16,Wallis and Futuna,3.03,Python,BS Computer Science
Amanda Cole,24,Bangladesh,3.03,Management,BBA
Randy Riley,21,French Southern Territories,2.75,Management,BBA
Kathleen Anderson,24,British Indian Ocean Territory (Chagos Archipelago),3.53,Python,BS Software Engineering
Jennifer Johnson,21,Madagascar,3.27,R,BS Data Science
Angela Smith,25,Portugal,2.56,None,BBA
Michelle Carter,18,Seychelles,2.25,Python,BS Software Engineering
Maria Conner,20,Argentina,3.12,Python,BS Data Science
David Hunter,19,French Guiana,2.46,Python,BS Software Engineering
Ryan Benton,18,Malta,2.43,SQL,BS Business Analytics
Patrick Mccoy,20,Israel,3.62,Python,BS Software Engineering
Jennifer Chan,19,Cocos (Keeling) Islands,3.74,Excel,BS Business Analytics
Carly Jones,16,Botswana,2.26,Financial Modelling,BS Accounting & Finance
Cathy Schwartz,19,Iran,2.52,Python,BS Software Engineering
William Black,17,Bosnia and Herzegovina,3.81,R,BS Data Science
Samantha Walters,16,San Marino,3.53,Statistics,BS Data Science
Robert Lewis,25,Algeria,3.78,Python,BS Computer Science
Alyssa Edwards,18,Guam,2.6,Excel,BBA
Elizabeth Wilson,25,French Southern Territories,3.81,SQL,BS Information Technology
Justin King,19,Guatemala,3.84,Financial Modelling,BS Accounting & Finance
Brian Collins,18,British Virgin Islands,3.53,Python,BS Software Engineering
Chase French,19,Central African Republic,2.93,Python,BS Computer Science
Daniel Thomas,17,Mexico,2.41,Excel,BBA
Jacqueline Daniel,22,Libyan Arab Jamahiriya,2.16,Excel,BBA
Linda Lewis,22,Palau,2.48,Excel,BS Information Technology
Maria Peck,22,Svalbard & Jan Mayen Islands,3.41,SQL,BS Computer Science
Patrick Wood,25,Estonia,2.27,Financial Modelling,BS Accounting & Finance
Brandi White,25,Chile,3.61,SQL,BS Computer Science
Sean Meyers,22,Albania,2.4,SQL,BS Computer Science
Jamie Hampton,17,Grenada,2.54,Python,BS Computer Science
Charles Dawson,25,Bulgaria,3.77,SQL,BS Computer Science
Robert Bryant,22,Netherlands Antilles,2.15,Excel,BBA
Monica Villanueva,16,Liberia,3.45,Excel,BS Information Technology
Robert Guzman,17,Singapore,3.16,SQL,BS Computer Science
